日期,股票代码,股票简称,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞价匹配金额_openapi,竞价未匹配金额,竞价未匹配占比,竞昨成交比估算,竞价换手率_openapi,竞价量比_openapi,竞价涨幅今日,个股热度排名昨日,昨日炸板_openapi,大单动向(ddx值)昨日
20260209,000592.SZ,平潭发展,农林牧渔,0.0022434964292441,28.0,86914569.0,1085983.0,0.012494832713258925,0.01394984733643183,0.3915790072649385,,-0.258,9,,-13540.122
20260209,601138.SH,工业富联,电子,0.0207499890735856,5.0,147806000.0,1770300.0,0.011977186311787073,0.01972115318299115,0.0132439020594023,,3.309,39,,1361.267
20260210,002361.SZ,神剑股份,基础化工,0.0005025053774203,14.0,54949314.0,-48308.4,-0.0008791447332718294,0.012406167524154554,0.4554808197118276,,-0.201,10,,-7737.196
20260211,300058.SZ,蓝色光标,传媒,0.0009608907556366,3.0,133789627.0,939813.5,0.007024561777124919,0.009862104673518647,0.1991967161793448,,-1.631,6,,-21340.706
20260212,603881.SH,数据港,通信,0.0065609389811374,2.0,85344999.0,-69328.24,-0.0008123292613782796,0.015864838423049584,0.2700671099855189,,4.738,24,,-1363.227
20260224,600111.SH,北方稀土,有色金属,0.0341663182719063,1.0,78114400.0,3298400.0,0.04222524912180085,0.011741385408681432,0.0385857425829977,,2.302,95,,-3850.34
20260224,603993.SH,洛阳钼业,有色金属,0.0341663182719063,1.0,99851135.0,1649829.6,0.016522892804373232,0.016213540089227874,0.0249175380897732,,4.413,49,,-8366.677
20260225,600410.SH,华胜天成,计算机,0.0015933167604249,16.0,77437052.0,1738324.0,0.022448220265409897,0.008862355070929091,0.2941373132039164,,0.755,3,,-10951.179
20260225,300017.SZ,网宿科技,计算机,0.0015933167604249,16.0,77374244.0,-685391.0,-0.008858128552441818,0.007655797168546595,0.1533427069495912,,2.723,25,,0.0
20260226,002455.SZ,百川股份,基础化工,0.0044787212103054,6.0,62204970.0,5376935.0,0.08643899354022677,0.02441324798097503,0.8526862101996809,,-1.886,33,,-4540.335
20260226,002969.SZ,嘉美包装,轻工制造,0.0002992684968765,19.0,51104193.0,2392257.0,0.04681136438256642,0.01926152740608854,0.1834758081167902,,-3.409,24,,-3124.384
20260312,002969.SZ,嘉美包装,轻工制造,0.0020523005627275,5.0,77360400.0,-3920800.0,-0.050682261208576995,0.019630038760279262,0.2724004456249371,,3.052,23,,-2202.819
20260325,002310.SZ,东方新能,建筑装饰,0.0057565679635638,10.0,51978896.0,315744.0,0.006074465298378019,0.014134831695031578,0.3363784892285427,,-2.902,4,,9951.631
20260325,603986.SH,兆易创新,电子,0.0116945619520569,3.0,54699820.0,165090.0,0.0030181086519114686,0.0059316408534053795,0.0297673956834634,,0.526,62,,666.81
20260325,002594.SZ,比亚迪,汽车,0.0064917475031218,6.0,74899191.0,146313.12,0.0019534672944598293,0.007622315830725967,0.0201256189166781,,0.075,29,,-44.258
20260401,002309.SZ,中利集团,电力设备,0.013991428022402,17.0,92319084.0,14647074.0,0.15865705513282605,0.018548994278941154,0.8094567341639303,,-4.049,3,,13551.083
20260401,002192.SZ,融捷股份,有色金属,0.0249474835107976,4.0,52687500.0,2887500.0,0.054804270462633455,0.013279423378160234,0.2711123399307399,,-1.678,91,,-1406.297
20260401,002149.SZ,西部材料,有色金属,0.0249474835107976,4.0,86612712.0,821243.05,0.009481784267417928,0.015617258970548211,0.3441986927689822,,0.019,9,,-2916.113
