日期,市场指数收盘,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差,市场120日新高数,市场120日新低数,市场120日高低差
2025-02-28,3320.9,264,631,-367,92,148,-56,59,28,31
2025-03-03,3316.93,414,336,78,140,94,46,80,18,62
2025-03-04,3324.21,525,158,367,182,85,97,129,22,107
2025-03-05,3341.96,478,406,72,213,123,90,168,25,143
2025-03-06,3381.1,765,75,690,337,31,306,250,7,243
2025-03-07,3372.55,643,348,295,332,95,237,242,23,219
2025-03-10,3366.16,801,195,606,314,51,263,223,13,210
2025-03-11,3379.83,884,155,729,339,39,300,232,12,220
2025-03-12,3371.92,742,143,599,304,34,270,238,9,229
2025-03-13,3358.73,565,504,61,201,76,125,148,17,131
2025-03-14,3419.56,1071,18,1053,271,5,266,190,4,186
2025-03-17,3426.13,1154,33,1121,347,4,343,207,0,207
2025-03-18,3429.76,1116,44,1072,451,7,444,268,2,266
2025-03-19,3426.43,665,136,529,361,17,344,187,5,182
2025-03-20,3408.95,757,247,510,415,19,396,212,6,206
2025-03-21,3364.83,468,864,-396,236,66,170,128,14,114
2025-03-24,3370.03,411,1457,-1046,210,131,79,113,26,87
2025-03-25,3369.98,483,1278,-795,216,103,113,91,19,72
2025-03-26,3368.7,488,351,137,280,40,240,108,11,97
2025-03-27,3373.75,373,644,-271,211,76,135,84,26,58
2025-03-28,3351.31,219,1592,-1373,137,168,-31,63,55,8
2025-03-31,3335.75,186,2171,-1985,120,311,-191,72,139,-67
2025-04-01,3348.44,377,727,-350,231,99,132,111,30,81
2025-04-02,3350.13,290,450,-160,204,87,117,103,43,60
2025-04-03,3342.01,342,1274,-932,234,182,52,99,76,23
2025-04-07,3096.58,68,4523,-4455,53,2637,-2584,27,1953,-1926
2025-04-08,3145.55,147,1970,-1823,126,1239,-1113,62,765,-703
2025-04-09,3186.81,178,387,-209,144,252,-108,61,171,-110
2025-04-10,3223.64,204,10,194,166,6,160,79,5,74
2025-04-11,3238.23,142,29,113,113,16,97,68,12,56
2025-04-14,3262.81,221,7,214,173,3,170,101,3,98
2025-04-15,3267.66,203,20,183,156,10,146,89,9,80
2025-04-16,3276.0,193,99,94,136,65,71,69,42,27
2025-04-17,3280.34,269,83,186,184,56,128,93,39,54
2025-04-18,3276.73,172,87,85,107,49,58,64,37,27
2025-04-21,3291.43,297,38,259,161,27,134,107,24,83
2025-04-22,3299.76,387,82,305,222,52,170,134,41,93
