日期,股票代码,股票简称,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞价匹配金额_openapi,竞价未匹配金额,竞价未匹配占比,竞昨成交比估算,个股热度排名昨日,竞价涨幅今日,开盘价:不复权今日,收盘价:不复权今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,市场20日高低差
20260112,600151.SH,航天机电,801730,电力设备,0.0006625698081472,21.0,67619223.0,7583536.8,0.11215060545726767,0.01112212322387138,27,2.317,21.2,22.79,-3.628,9.057,293423174.0,279883245.0,2532
20260112,002324.SZ,普利特,801030,基础化工,0.0032010800923303,13.0,120278026.0,4187174.4,0.0348124635833315,0.018832149161887343,29,0.0,22.8,23.9,-8.8,0.0,280124800.0,18140020.0,2532
20260112,300065.SZ,海兰信,801740,国防军工,0.0213049563459444,3.0,83025598.0,382277.0,0.00460432696913547,0.013895669376951233,77,5.297,24.25,26.39,-6.42,19.745,259439916.0,168798716.0,2532
20260113,002757.SZ,南兴股份,801890,机械设备,0.0015730405057932,12.0,59022918.0,884297.8,0.014982278578636184,0.02152881970285687,26,1.148,27.31,25.01,4.287,8.696,101539742.0,122659619.0,917
20260114,002230.SZ,科大讯飞,801750,计算机,0.0010625974117683,6.0,62033346.0,562121.76,0.009061606317350672,0.004556558184176595,40,0.608,61.26,62.64,-0.213,3.652,223585590.0,199793135.0,903
20260116,603881.SH,数据港,801770,通信,0.0075988693638944,3.0,97863453.0,1153541.62,0.011787256474590163,0.01612245716945972,46,-4.636,36.41,35.57,-4.55,7.298,158983877.0,126544122.0,653
20260119,603993.SH,洛阳钼业,801050,有色金属,0.0010164978883213,4.0,56784519.0,356769.0,0.006282856776509809,0.00708686185781001,50,0.083,24.27,23.31,0.331,3.219,330420149.0,305593872.0,1217
20260120,002716.SZ,湖南白银,801050,有色金属,0.005002623494664,2.0,50992150.0,-2731365.0,-0.05356442119032047,0.00939426957692361,54,2.041,11.5,12.4,-1.915,5.989,481634037.0,474722648.0,889
20260121,000657.SZ,中钨高新,801050,有色金属,0.0027229529850147,1.0,56808313.0,537816.82,0.009467220404872786,0.011673716956419744,72,1.372,38.41,41.68,-5.98,7.618,128432945.0,89892645.0,1047
20260122,002498.SZ,汉缆股份,801730,电力设备,0.0017694466202915,12.0,59426055.0,8429265.0,0.1418445999822805,0.02137583468715139,32,-5.097,5.4,6.05,-0.871,0.0,488584854.0,18150962.0,1220
20260122,002201.SZ,九鼎新材,801710,建筑材料,0.0058105963424879,3.0,57884414.0,848874.93,0.014664999977368693,0.02239230644972459,43,0.238,12.63,13.86,-10.638,1.826,205159605.0,193721313.0,1220
20260122,300136.SZ,信维通信,801080,电子,0.0154665468779386,1.0,197196210.0,1455959.6,0.007383304172022373,0.013466145864049777,20,-0.355,73.05,81.0,-8.363,0.741,199751726.0,175260231.0,1220
20260123,601899.SH,紫金矿业,801050,有色金属,0.0161566465378173,1.0,140260440.0,684608.87,0.004880983333575739,0.013595086967524905,60,1.938,38.39,37.56,0.427,0.98,273949936.0,389167286.0,1468
20260126,601212.SH,白银有色,801050,有色金属,0.0263567990373043,1.0,160839580.0,23266635.0,0.14465739714067893,0.051056054016929635,12,5.786,10.97,11.41,0.0,14.303,303785648.0,616801804.0,644
20260128,000630.SZ,铜陵有色,801050,有色金属,0.0096495477647315,4.0,85370120.0,146097.0,0.0017113364722926476,0.008730178028461448,13,1.845,7.73,8.35,0.931,3.425,1288377140.0,1116182410.0,14
20260203,002455.SZ,百川股份,801030,基础化工,0.013897254969452,5.0,65827224.0,4504668.0,0.06843168716943009,0.026601033692296005,35,4.376,9.78,10.31,-5.258,3.564,264100256.0,118237685.0,188
20260203,002165.SZ,红宝丽,801030,基础化工,0.013897254969452,5.0,81210675.0,4055444.8,0.04993733644006776,0.020494867050466343,5,-0.402,12.4,13.7,-2.506,13.713,318270911.0,264015694.0,188
