日期,股票代码,股票简称,开盘价:不复权今日,收盘价:不复权今日,开盘价:不复权明日,收盘价:不复权明日,涨跌幅:前复权今日,涨跌幅:前复权昨日,开盘收益率,收益率,量比,个股热度排名昨日,连续涨停天数昨日,竞价涨幅今日,实体涨跌幅今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,换手率昨日,个股热度昨日,个股热度前日,大单动向(ddx值)昨日,最低价:不复权今日,开盘后最大跌幅,基础代码,竞价强度,竞价匹配金额_openapi,竞价未匹配金额,竞价换手率_openapi,竞价量比_openapi,昨日涨停_openapi,昨日炸板_openapi,连续涨停天数_openapi,个股热度排名_openapi,集合竞价评级_unifiedwap,昨收估算,昨日成交额估算,竞昨成交比估算,昨日前日成交量比,industry_code,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,市场指数收盘,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差,市场120日新高数,市场120日新低数,市场120日高低差,一级行业候选数,竞价未匹配占比
20251110,603516.SH,淳中科技,230.0,214.18,211.0,202.69,-10.00084041,4.86934297,-0.082608696,-0.11873913,1.166331354647153,63,0,-3.353,-6.878,4.837,10.0,15370233.0,13178273.0,7.56155,7494817.0,8670711.0,113.822,214.18,-0.068782609,603516,7.516310334654135,84210130.0,5696870.0,0.2,1.898,,,0.0,,,237.9794509917535,3657799610.9553328,0.023022073092190596,1.166331354647153,710103,801750,计算机,0.0015072010717875,12.0,4018.6,1173,280,893,478,106,372,390,16,374,1,0.06765064963086982
20251111,000572.SZ,海马汽车,9.7,9.95,9.74,9.13,-1.97044335,2.52525253,0.0041237113402062,-0.058762887,1.431482364637812,2,0,-4.434,2.577,-1.932,0.0,661444382.0,462069529.0,40.276641,47428671.0,37990534.0,-10912.719,9.7,0.0,000572,8.736184462924562,179834800.0,10355041.0,1.1,1.089,,1.0,0.0,,,10.150053366259966,6713695776.112843,0.026786259907672257,1.4314823646378119,280502,801880,汽车,0.0022766158661826,8.0,4002.76,1205,397,808,471,164,307,393,31,362,1,0.05758085198193008
20251117,300502.SZ,新易盛,314.33,311.7,308.01,316.86,0.36061562,-4.68620531,-0.020106258,0.0080488658416315,1.1726578367478944,98,0,1.207,-0.837,-2.336,-0.897,32676772.0,27865564.0,3.690655,5963880.5,6106734.0,-1089.226,306.66,-0.024401107,300502,8.375675877445529,62381932.0,295470.2,0.0,0.692,,,0.0,,,310.5812839032873,10148793801.574987,0.006146733613832904,1.1726578367478944,730204,801770,通信,0.0064087343559104,3.0,3972.03,866,519,347,420,190,230,356,31,325,1,0.004736470810169842
20251125,002474.SZ,榕基软件,11.51,13.71,13.04,12.34,10.03210273,0.08032129,0.1329278887923544,0.0721112076455256,1.778080536227589,5,0,-7.624,19.114,-4.154,13.285,371398503.0,208876086.0,69.974064,36749269.5,21788854.5,-1575.63,11.51,0.0,002474,8.071547540528853,154162320.0,10605636.3,2.5,1.627,,,0.0,,,12.45994630639993,4627605405.657313,0.033313626916317104,1.778080536227589,710301,801750,计算机,0.0034294742115099,15.0,3870.02,269,206,63,124,99,25,98,36,62,1,0.06879525619489898
20251125,002402.SZ,和而泰,46.51,47.5,47.03,47.59,1.10685398,-9.65384615,0.011180391313696,0.0232208127284456,0.8273614907183702,33,0,-1.0,2.129,-9.654,-3.704,100729529.0,121747906.0,12.500068,11695671.0,15106385.5,-3145.589,46.35,-0.00344012,002402,8.42199339714105,51844697.0,3339418.0,0.1,2.436,,,0.0,,,46.97979797979798,4732252923.020202,0.010955605679442818,0.8273614907183702,270504,801080,电子,0.0116872951173041,3.0,3870.02,269,206,63,124,99,25,98,36,62,2,0.06441194940342693
20251125,000566.SZ,海南海药,7.73,8.4,8.69,8.7,9.94764398,-8.83054893,0.1241914618369985,0.1254851228978006,0.8797448737972594,28,0,1.178,8.668,-5.093,-0.238,351545946.0,399599880.0,30.15246,13289145.5,20648950.0,-11421.535,7.56,-0.021992238,000566,9.078243857832335,51834288.0,1964966.0,0.6,0.822,,,0.0,,,7.640000790685724,2685811305.402361,0.019299303676225576,0.8797448737972594,370102,801150,医药生物,0.0030815603135445,19.0,3870.02,269,206,63,124,99,25,98,36,62,1,0.037908613696015274
20251128,002413.SZ,雷科防务,7.0,7.66,8.43,8.43,10.05747126,-9.72762646,0.2042857142857142,0.2042857142857142,1.433738972129066,12,0,0.575,9.429,-8.3,0.0,571020888.0,398273953.0,44.159769,20295860.5,20077705.5,-18301.952,6.86,-0.02,002413,9.11221538891506,61632900.0,-1092021.0,0.7000000000000001,0.848,,,0.0,,,6.959980114342531,3974294025.3542137,0.01550788633322289,1.433738972129066,650501,801740,国防军工,0.0007501965514964,5.0,3888.6,288,115,173,158,63,95,123,41,82,1,-0.01771815053323793
20251201,000070.SZ,特发信息,13.49,14.19,14.0,14.74,1.28479657,-2.97783934,0.0378057820607857,0.0926612305411415,0.7548683751674645,6,0,-3.712,5.189,-4.369,6.333,273331032.0,362090983.0,30.757008,24511055.5,35463959.0,-5957.215,13.17,-0.023721275,000070,8.468550094999646,106187061.0,13606837.0,0.8999999999999999,0.666,,,0.0,,,14.0100531738119,3829382292.372882,0.027729553461271438,0.7548683751674645,730205,801770,通信,0.0084244488259543,3.0,3914.01,386,120,266,177,49,128,135,21,114,2,0.12814025430085121
20251201,000063.SZ,中兴通讯,42.45,46.3,47.77,45.5,10.00237586,-0.4964539,0.125323910482921,0.0718492343934039,0.5357539486368881,66,0,0.855,9.07,-0.544,-0.189,140096802.0,261494670.0,3.478626,6732376.0,13470389.0,-824.099,42.03,-0.009893993,000063,8.6846115374823,63411810.0,1383870.0,0.0,0.923,,,0.0,,,42.090129393684,5896692523.821327,0.010753792866735104,0.5357539486368881,730204,801770,通信,0.0084244488259543,3.0,3914.01,386,120,266,177,49,128,135,21,114,2,0.021823537287454814
20251205,002565.SZ,顺灏股份,11.0,11.9,13.09,13.09,9.98151571,1.31086142,0.1899999999999999,0.1899999999999999,1.528042075699164,9,0,1.664,8.182,2.076,9.877,381779372.0,249848730.0,36.018827,23367336.5,14999675.5,-978.922,10.99,-0.000909091,002565,9.258978632662831,90518450.0,7369450.0,0.8,0.933,,,0.0,,,10.81995593327038,4130835981.27164,0.021912864710773323,1.528042075699164,360205,801140,轻工制造,0.0002409058058296,5.0,3902.81,367,159,208,216,59,157,164,29,135,1,0.08141378912254905
