日期,股票代码,股票简称,开盘价:不复权今日,收盘价:不复权今日,开盘价:不复权明日,收盘价:不复权明日,涨跌幅:前复权今日,涨跌幅:前复权昨日,开盘收益率,收益率,量比,个股热度排名昨日,连续涨停天数昨日,竞价涨幅今日,实体涨跌幅今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,换手率昨日,个股热度昨日,个股热度前日,大单动向(ddx值)昨日,最低价:不复权今日,开盘后最大跌幅
20240527,002085.SZ,万丰奥威,15.98,16.11,15.88,15.41,0.0621118,-9.39786156,-0.006257822,-0.035669587,1.0291144620349264,2,0,-0.745,0.821,-6.561,-3.346,259777750.0,252428432.0,12.234637,17008021.0,20082980.5,-7306.249,15.42,-0.035043805
20240527,000620.SZ,新华联,2.49,2.41,2.27,2.17,-10.07462687,9.83606557,-0.088353414,-0.128514056,2.579662682187537,9,4,-7.09,-3.213,3.876,0.0,281121581.0,108976101.0,6.782105,9306192.0,6162595.0,9370.719,2.41,-0.032128514
20240527,002218.SZ,拓日新能,3.93,3.76,3.57,3.76,-10.04784689,5.02512563,-0.091603053,-0.043256997,1.5057525268277945,11,0,-5.981,-4.348,8.616,3.125,235858510.0,156638296.0,16.939012,8889162.0,5881715.0,1928.403,3.76,-0.043256997
20240527,603628.SH,清源股份,17.45,16.22,15.66,16.25,-9.68819599,-0.60874377,-0.102578797,-0.068767908,9.535337584279626,13,0,-2.84,-7.099,-0.224,0.0,74312719.0,7793402.0,27.141241,8489855.5,7226978.5,-1532.34,16.16,-0.073925501
20240527,601138.SH,工业富联,24.6,24.86,24.65,24.12,2.93995859,-5.73770492,0.0020325203252031,-0.019512195,1.1279678995530589,18,0,1.863,1.082,-4.265,-1.495,205119477.0,181848683.0,1.034129,7169573.5,8792771.5,-6168.448,24.51,-0.003658537
20240527,000977.SZ,浪潮信息,38.0,38.38,38.3,36.55,1.21308017,-2.81906715,0.0078947368421051,-0.038157895,1.2887474162054655,33,0,0.211,1.005,-2.932,-3.214,69172185.0,53673966.0,4.70481,5090371.0,3791937.0,-2174.519,37.6,-0.010526316
20240527,002129.SZ,TCL中环,11.28,10.98,10.88,10.84,-3.51493849,-0.69808028,-0.035460993,-0.039007092,0.56841709221721,51,0,-0.879,-2.722,0.0,-0.797,174936910.0,307761523.0,4.330422,4211644.5,7220526.5,-4898.234,10.72,-0.04964539
20240527,300308.SZ,中际旭创,166.11,168.39,167.0,161.01,1.81389443,-4.83341964,0.0053578953705375,-0.030702547,1.2347028171979109,72,0,0.435,1.376,-3.854,-2.371,27366578.0,22164506.0,3.413808,3219018.0,2946496.5,-861.516,165.0,-0.006682319
20240528,000702.SZ,正虹科技,6.8,6.45,5.99,5.81,-7.85714286,-6.66666667,-0.119117647,-0.145588235,1.343435420294396,1,0,-2.857,-5.147,-6.667,0.671,114081403.0,84917668.0,42.785674,20552308.0,12388914.0,-2535.142,6.3,-0.073529412
20240528,600101.SH,明星电力,14.18,15.74,15.74,15.8,9.99301188,5.22058824,0.1100141043723554,0.1142454160789845,1.5969001193491794,2,0,-0.909,11.079,-0.627,6.974,131326704.0,82238521.0,31.161965,13470186.0,9043940.5,-315.267,14.18,0.0
